brand,collection,product_name,material,reference,retail_price_usd,currency,category,source_url,date_captured,notes
Bulgari,B.zero1,B.zero1 Earrings,Yellow gold,N/A,5950,USD,Earrings,https://www.bulgari.com/en-us/jewelry,2026-01-23,With diamonds
Bulgari,B.zero1,B.zero1 Ring,Yellow gold,N/A,6900,USD,Rings,https://www.bulgari.com/en-us/jewelry,2026-01-23,With diamonds
Bulgari,B.zero1,B.zero1 Ring,Rose gold,N/A,6900,USD,Rings,https://www.bulgari.com/en-us/jewelry,2026-01-23,With diamonds - Special edition
Bulgari,B.zero1,B.zero1 Earrings,Rose gold,N/A,5950,USD,Earrings,https://www.bulgari.com/en-us/jewelry,2026-01-23,With diamonds - Special edition
Bulgari,Serpenti Viper,Serpenti Viper Necklace,Rose gold,N/A,5100,USD,Necklaces,https://www.bulgari.com/en-us/jewelry,2026-01-23,Special edition with rubies
Bulgari,Serpenti Viper,Serpenti Viper Bracelet,Rose gold,N/A,11700,USD,Bracelets,https://www.bulgari.com/en-us/jewelry,2026-01-23,Special edition with rubies
Bulgari,Serpenti Viper,Serpenti Viper Necklace,White gold,N/A,6350,USD,Necklaces,https://www.bulgari.com/en-us/jewelry,2026-01-23,New - with diamonds
Bulgari,Serpenti Viper,Serpenti Viper Earrings,White gold,N/A,5900,USD,Earrings,https://www.bulgari.com/en-us/jewelry,2026-01-23,New - with diamonds
