product_id,brand_id,collection,product_name,category,material_primary,material_secondary,retail_price_usd,size_options,reference_number,source_url,date_captured,date_updated,is_active,notes
vca-alhambra-006,van-cleef-arpels,Alhambra,Vintage Alhambra bracelet 5 motifs,bracelets,yellow gold,diamonds,16900,,VCARP4KN00,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,Diamond pave version
vca-alhambra-007,van-cleef-arpels,Alhambra,Vintage Alhambra necklace 10 motifs,necklaces,yellow gold,mother-of-pearl,9650,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,+6 stone variations
vca-alhambra-008,van-cleef-arpels,Alhambra,Vintage Alhambra earrings,earrings,yellow gold,mother-of-pearl,4500,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,+6 stone variations
vca-alhambra-009,van-cleef-arpels,Alhambra,Vintage Alhambra Reversible Ring,rings,rose gold,carnelian/diamonds,6350,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,+3 stone variations
vca-alhambra-010,van-cleef-arpels,Alhambra,Magic Alhambra transformable long necklace,necklaces,rose gold,mother-of-pearl,35000,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,15 motifs
vca-perlee-001,van-cleef-arpels,Perlee,Ludo Secret watch,watches,yellow gold,diamonds/mother-of-pearl,96500,,VCARPBM300,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,High jewelry watch
vca-perlee-002,van-cleef-arpels,Perlee,Perlee sweet clovers bracelet medium,bracelets,yellow gold,diamonds,17700,,VCARP6X600,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,Diamond pave
vca-perlee-003,van-cleef-arpels,Perlee,Perlee sweet clovers bracelet,bracelets,rose gold,diamonds,17700,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,
vca-perlee-004,van-cleef-arpels,Perlee,Perlee signature bracelet,bracelets,yellow gold,,7250,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,Medium model
vca-perlee-005,van-cleef-arpels,Perlee,Perlee signature bracelet,bracelets,rose gold,,7250,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,Medium model
vca-perlee-006,van-cleef-arpels,Perlee,Perlee clovers bracelet,bracelets,white gold,diamonds,31500,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,
vca-perlee-007,van-cleef-arpels,Perlee,Perlee pearls of gold bracelet,bracelets,rose gold,,5150,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,
vca-perlee-008,van-cleef-arpels,Perlee,Perlee clovers bracelet,bracelets,yellow gold,diamonds,29700,,N/A,https://www.vancleefarpels.com/,2026-01-23,2026-01-23,true,
tiffany-t-001,tiffany,Tiffany T,T Smile Pendant Small,necklaces,yellow gold,,1400,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-t-002,tiffany,Tiffany T,T Wire Bracelet,bracelets,yellow gold,,3500,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-t-003,tiffany,Tiffany T,T Narrow Wire Bracelet,bracelets,yellow gold,,2500,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-t-004,tiffany,Tiffany T,T Wire Ring,rings,yellow gold,,1525,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-t-005,tiffany,Tiffany T,T Smile Bracelet on Blue Cord,bracelets,rose gold,diamonds,1050,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-t-006,tiffany,Tiffany T,T Smile Medium Pendant,necklaces,white gold,diamonds,4200,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-hw-001,tiffany,Tiffany HardWear,HardWear Medium Link Earrings,earrings,yellow gold,,3600,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-hw-002,tiffany,Tiffany HardWear,HardWear Micro Link Bracelet,bracelets,yellow gold,,4200,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-hw-003,tiffany,Tiffany HardWear,HardWear Small Link Bracelet,bracelets,sterling silver,,1350,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-knot-001,tiffany,Tiffany Knot,Knot Pendant,necklaces,yellow gold,diamonds,5900,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-knot-002,tiffany,Tiffany Knot,Knot Ring,rings,yellow gold,diamonds,3200,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-lock-001,tiffany,Tiffany Lock,Lock Bangle Half Pave,bracelets,yellow/white gold,diamonds,18500,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-lock-002,tiffany,Tiffany Lock,Lock Small Earrings,earrings,yellow gold,diamonds,5700,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-ep-001,tiffany,Elsa Peretti,Open Heart Pendant 11mm,necklaces,yellow gold,,1400,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-ep-002,tiffany,Elsa Peretti,Open Heart Earrings,earrings,yellow gold,,1100,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-1837-001,tiffany,Tiffany 1837,Interlocking Circles Pendant Small,necklaces,sterling silver,,625,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
tiffany-1837-002,tiffany,Tiffany 1837,Interlocking Circles Chain Bracelet,bracelets,sterling silver,,550,,N/A,https://www.tiffany.com/,2026-01-23,2026-01-23,true,
bulgari-bzero1-001,bulgari,B.zero1,B.zero1 Earrings,earrings,yellow gold,diamonds,5950,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,
bulgari-bzero1-002,bulgari,B.zero1,B.zero1 Ring,rings,yellow gold,diamonds,6900,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,
bulgari-bzero1-003,bulgari,B.zero1,B.zero1 Ring,rings,rose gold,diamonds,6900,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,Special edition
bulgari-bzero1-004,bulgari,B.zero1,B.zero1 Earrings,earrings,rose gold,diamonds,5950,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,Special edition
bulgari-serpenti-001,bulgari,Serpenti Viper,Serpenti Viper Necklace,necklaces,rose gold,rubies,5100,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,Special edition
bulgari-serpenti-002,bulgari,Serpenti Viper,Serpenti Viper Bracelet,bracelets,rose gold,rubies,11700,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,Special edition
bulgari-serpenti-003,bulgari,Serpenti Viper,Serpenti Viper Necklace,necklaces,white gold,diamonds,6350,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,
bulgari-serpenti-004,bulgari,Serpenti Viper,Serpenti Viper Earrings,earrings,white gold,diamonds,5900,,N/A,https://www.bulgari.com/,2026-01-23,2026-01-23,true,
dy-madison-001,david-yurman,DY Madison,Heart Toggle Chain Bracelet 3mm,bracelets,sterling silver,,325,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,Entry level
dy-madison-002,david-yurman,DY Madison,Heart Toggle Chain Bracelet 3mm,bracelets,sterling silver,18K yellow gold,495,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,Two-tone
dy-madison-003,david-yurman,DY Madison,Heart Toggle Chain Bracelet 3mm,bracelets,sterling silver,diamonds,995,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,Diamond accent
dy-madison-004,david-yurman,DY Madison,Pave Toggle Chain Bracelet 3mm,bracelets,18K yellow gold,diamonds,3250,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
